Sukunimi,Yhteensä
Ylikoski,984
Hildén,982
Lång,982
Björkman,981
Kemppinen,981
Koivukangas,979
Rahkola,979
Hujanen,978
Porkka,978
Roivainen,978
Nummi,977
Höglund,974
Yrjölä,974
Kallinen,973
Toikkanen,973
Tuukkanen,972
Järveläinen,971
Katajisto,971
Pärssinen,971
Rusanen,969
Salomäki,969
Niva,968
Haarala,967
Suorsa,966
Laitala,963
Tran,961
Viljamaa,960
Surakka,955
Luukkanen,954
Uimonen,954
Pulliainen,953
Virkki,947
Ilvonen,946
Syrjä,946
Teittinen,946
Kröger,945
Rannikko,943
Kurkela,942
Törmä,939
Nordberg,938
Österlund,938
Ikävalko,937
Könönen,937
Loponen,937
Purhonen,936
Hietikko,935
Sirkiä,935
Björk,934
Stenman,932
Asplund,931
Rönkä,931
Enqvist,929
Mönkkönen,928
Käyhkö,927
Koskelo,926
Suonpää,926
Dahl,925
Hellström,925
Kajander,924
Kaski,924
Metsälä,924
Siira,923
Terho,923
Kuvaja,922
Kallioniemi,920
Kulju,920
Kaasalainen,919
Karppanen,919
Koskelainen,919
Pusa,917
Romppainen,917
Henttonen,915
Nokelainen,915
Palokangas,915
Juuti,914
Lievonen,913
Mehtälä,912
Palviainen,911
Siponen,911
Toropainen,909
Lindblom,907
Kasurinen,906
Backlund,905
Kopra,905
Nummelin,905
Klemola,904
Oksman,904
Riekki,903
Parkkila,902
Perkiö,901
Häyrinen,899
Lohi,898
Luokkanen,898
Pöntinen,898
Back,894
Liimatta,893
Pajula,892
Mantere,891
Knuuttila,890
Paldanius,890
Naumanen,887
Rouvinen,886
Toiviainen,886
Granqvist,885
Heikkonen,885
Isomäki,885
Kanniainen,885
Malin,885
Pöyry,882
Arponen,880
Palola,880
Sandell,879
Vesanen,877
Ukkola,876
Boman,873
Norrgård,873
Puolakka,873
Smeds,871
Kotiranta,870
Lahtela,870
Lund,870
Ruokolainen,870
Haakana,866
Miettunen,865
Kankare,864
Luomala,863
Paaso,863
Huovila,862
Mäkynen,862
Myllyniemi,861
Isaksson,858
Isoaho,857
Laasonen,856
Räikkönen,854
Vierimaa,854
Jurvanen,853
Kurtti,853
Herrala,852
Lehtomäki,852
Pyykönen,852
Vähäkangas,852
Pajari,851
Ahlqvist,849
Sironen,849
Tuomikoski,846
Siren,845
Halinen,843
Hyyryläinen,842
Silander,842
Ohtonen,841
Sorjonen,840
Särkkä,840
Flink,839
Pernu,838
Suikkanen,838
Berglund,837
Haapasalo,837
Lahdenperä,837
Stenroos,836
Knuutinen,834
Engström,832
Hagman,832
Takalo,831
Valo,829
Myller,828
Lauronen,827
Niemistö,827
Tammela,827
Vaarala,827
Huuhtanen,826
Vihavainen,826
Kallioinen,825
Launonen,824
Rinkinen,824
Möttönen,822
Viskari,821
Kurkinen,820
Poikonen,820
Riekkinen,820
Pakkala,819
Korkalainen,817
Rask,817
Raivio,816
Savola,816
Schroderus,815
Malmi,814
Ruusunen,813
Saaristo,813
Hinkkanen,811
Viinikka,811
Ristola,810
Brandt,809
Oinas,808
Helle,807
Myyryläinen,807
Paloniemi,807
Wiik,807
Laurikainen,806
Reiman,805
Haatainen,804
Husu,804
Fredriksson,803
Korkala,801
Kujansuu,801
Tikkala,799
Kinnari,798
Rosendahl,798
Vahtera,798
Pentti,795
Koikkalainen,794
Tuunanen,794
Kostiainen,793
Ristolainen,793
Kantonen,792
Taskila,790
Kojo,787
Lähdesmäki,787
Lampi,786
Mertanen,786
Aikio,785
Bäckström,784
Havukainen,784
Bäck,783
Hyppönen,782
Hagert,781
Jakobsson,781
Ahvenainen,780
Illikainen,779
Myllykangas,777
Koivuranta,776
Nivala,776
Ylimäki,775
Lepola,774
Pölönen,774
Vento,774
Rosenqvist,773
Kunnas,772
Maunula,771
Ilola,770
Saarnio,770
Kallunki,768
Pohjolainen,765
Forsell,764
Pullinen,764
Taavitsainen,764
Kankainen,763
Laukka,763
Pussinen,763
Ruhanen,763
Keto,761
Tanner,761
Tuisku,761
Hölttä,760
Pohjalainen,758
Varonen,758
Uitto,757
Suojanen,756
Reinikka,755
Riipinen,755
Järvensivu,754
Karhula,754
Marin,754
Puska,754
Hakonen,752
Huhtamäki,752
Sorri,752
Grönberg,750
Tuohimaa,750
Käkelä,748
Visuri,747
Kurikka,746
Pesola,746
Rutanen,746
Torniainen,745
Ahlfors,744
Lötjönen,743
Rantalainen,743
Rastas,743
Tammisto,743
Viita,742
Poikela,740
Hakamäki,739
Fagerholm,738
Mehtonen,738
Grönqvist,736
