Etunimi,Lukumäärä
Birgit,"1,486"
Jerry,"1,475"
Kimi,"1,474"
Erno,"1,473"
Stig,"1,467"
Vertti,"1,467"
Felix,"1,465"
Jori,"1,465"
Heljä,"1,447"
Irmeli,"1,444"
Titta,"1,443"
Kia,"1,437"
Aliisa,"1,418"
Thi,"1,418"
Eini,"1,413"
Anna-Maria,"1,407"
Rolf,"1,406"
Taneli,"1,406"
Linus,"1,405"
Touko,"1,405"
Taavi,"1,400"
Melissa,"1,397"
Salli,"1,396"
Mats,"1,393"
Cecilia,"1,386"
Lena,"1,377"
Kevin,"1,376"
Timi,"1,365"
Marjaana,"1,358"
Mohamed,"1,357"
Christina,"1,355"
Viktor,"1,349"
Kenneth,"1,345"
Neela,"1,345"
Adam,"1,340"
Kerstin,"1,340"
Verneri,"1,333"
Sven,"1,326"
Patrick,"1,321"
Miina,"1,312"
Mikaela,"1,311"
Leon,"1,309"
Jonathan,"1,308"
Raisa,"1,308"
Simon,"1,303"
Anitta,"1,296"
Elle,"1,295"
Mirjam,"1,293"
Saaga,"1,292"
Kaisla,"1,291"
Melina,"1,291"
Lilian,"1,290"
Tuulikki,"1,287"
Kirsi-Marja,"1,281"
Tia,"1,257"
Ralf,"1,255"
Jari-Pekka,"1,252"
Jiri,"1,252"
Michael,"1,252"
Annukka,"1,247"
Eliel,"1,239"
Enna,"1,238"
Marja-Terttu,"1,236"
Noah,"1,234"
Kurt,"1,229"
Mico,"1,225"
Fredrik,"1,220"
Elise,"1,217"
Björn,"1,214"
Casper,"1,211"
Kalervo,"1,208"
Rauli,"1,206"
Mimosa,"1,204"
Tenho,"1,199"
Elin,"1,192"
Hanna-Mari,"1,191"
Svetlana,"1,188"
Helga,"1,187"
Henni,"1,186"
Vivian,"1,186"
Hanna-Leena,"1,182"
Ira,"1,182"
Daniela,"1,168"
Brita,"1,150"
Siru,"1,150"
Helli,"1,149"
David,"1,145"
Iivo,"1,145"
Tobias,"1,143"
Inna,"1,139"
Juhana,"1,134"
Eerik,"1,128"
Alva,"1,124"
Taika,"1,124"
Bo,"1,123"
Per,"1,120"
Anna-Mari,"1,118"
Lisa,"1,115"
Reeta,"1,115"
Tuovi,"1,113"
Raine,"1,107"
Edith,"1,105"
Marianna,"1,102"
Tina,"1,102"
Erin,"1,100"
Tuulia,"1,100"
Malin,"1,093"
Inger,"1,090"
Diana,"1,089"
Helinä,"1,089"
Aura,"1,086"
Livia,"1,085"
Niki,"1,082"
Tuure,"1,078"
Marja-Riitta,"1,074"
Mea,"1,065"
Katarina,"1,064"
Liina,"1,064"
Carola,"1,059"
Artturi,"1,057"
Barbro,"1,057"
Lina,"1,053"
Luna,"1,053"
Siv,"1,053"
Juuli,"1,051"
Sointu,"1,049"
Stina,"1,045"
Dan,"1,044"
Victoria,"1,040"
Tatiana,"1,039"
Kira,"1,035"
Liam,"1,029"
Tinja,"1,029"
Mathias,"1,019"
Raila,"1,017"
Pilvi,"1,011"
Ulf,"1,009"
Fiona,"1,008"
Saima,"1,006"
Magnus,"1,005"
Kosti,"1,004"
Marie,"1,002"
Adele,"1,001"
Sampsa,998
Tiitus,998
Jan-Erik,987
Karita,985
Teo,984
Teresa,981
Berit,970
Anna-Leena,969
Janni,968
Annina,967
Säde,959
Tessa,958
Gunilla,955
Anne-Maria,954
Valma,953
Victor,952
Sanna-Mari,950
Sarah,948
Else,947
Aida,944
Carina,944
Astrid,942
Solveig,942
Joose,941
Lyydia,937
Albert,935
Elia,935
Marjo-Riitta,933
Heino,932
Sasu,932
Leea,931
Ahmed,930
Nanna,928
Malla,927
Lempi,926
Minka,921
Ville-Veikko,919
Visa,919
Pirkko-Liisa,917
Venni,914
Susan,914
Amelia,910
Jens,906
Ukko,906
Lilia,905
Meea,905
Erkka,903
Jalo,899
Kyllikki,899
Niila,897
Aleksandra,894
Virva,890
Christer,889
Gabriel,888
Jose,885
Monika,884
Iikka,878
Henriikka,876
Armas,875
Viena,872
Riia,871
Rebecca,867
Milka,863
Lila,861
Josefiina,860
Hely,859
Bea,858
Charlotta,857
Eliisa,857
Jeremias,856
Ebba,856
Aamos,855
Erica,850
Hanna-Kaisa,849
Petrus,847
Ekaterina,845
Nikolas,844
Filip,840
Allan,839
Noa,838
Janica,838
Okko,837
Ava,833
Antton,831
Gun,830
Isabel,825
Laina,824
Amalia,820
Oula,818
Verna,818
Nadja,814
Jasmine,812
Taito,811
Inari,811
Aleksanteri,810
Kjell,808
Auvo,807
Aamu,806
Roger,805
Mirella,804
Rafael,800
Ingrid,800
Greta,799
Maj-Britt,799
Åsa,795
Niclas,794
Iita,794
Annu,790
Paulus,788
Ilmo,787
Krister,786
Ester,786
Marjukka,786
Anastasia,784
Ansa,782
Maija-Leena,782
Selina,782
Helge,781
Sohvi,781
Marco,779
Rebekka,774
Anne-Marie,773
Iivari,771
Mio,770
Valto,770
Vincent,767
Harriet,764
Liisi,764
Nita,764
Jimmy,762
Jatta,759
Jonatan,758
Waltteri,758
Ruut,758
Sofie,754
Maaret,752
Pipsa,751
Bror,748
Jon,747
Jussi-Pekka,746
Vesa-Matti,745
Mimmi,744
Unna,743
Alf,742
Aulikki,740
Nicolas,736
Iines,734
Altti,729
Theo,727
Nelly,724
Amos,719
Kaarle,715
Tellervo,707
Isa,706
Mirjami,705
Richard,703
Alice,700
Margareta,699
Tove,699
Andrei,698
Eric,696
Annamari,695
Minni,694
Piritta,694
Elviira,693
Benita,692
Isto,687
Lyyli,686
Milena,683
Adrian,682
Pirita,676
Eevert,675
Ilja,673
Maya,673
Lydia,670
Elea,669
Mohammad,666
Johnny,665
Selja,665
Neo,659
Göran,655
Sylvia,653
Roy,652
Rea,648
Ruth,648
Mark,647
Jare,645
Gunnel,643
Lily,637
Matleena,637
Rene,634
Isak,632
Turo,632
Onerva,631
Mirkka,630
Ina,626
Leona,623
Jim,621
Ann-Mari,621
Alissa,619
Annette,617
Jennifer,617
Jonni,616
Tim,614
Dennis,611
Jarl,608
Ann,607
Yvonne,607
Ben,606
Börje,604
Aron,603
Nicholas,603
Sarita,600
Gunvor,599
Lili,598
Ines,597
Atso,596
Emily,596
Sabina,589
Noomi,586
Valentina,586
Mailis,582
Regina,581
Reko,580
Lara,580
Sam,579
Jalmari,577
Christoffer,575
Petja,575
Sinna,574
Bertta,573
Hermanni,572
Britta,572
Tara,572
Elisabeth,570
Evelina,569
Martina,568
Galina,567
Walter,564
Hanna-Maria,564
Torsti,563
Miki,562
Doris,561
Siri,561
Ilse,560
Nikolai,559
Jasmiina,558
Omar,557
Pirjo-Riitta,557
Hemmo,556
Mohammed,556
Marju,556
Orvokki,556
Kaius,555
Carolina,555
Eve,555
Patricia,555
Elliot,554
Tor,553
Jasu,546
Elis,545
Veronica,544
Frank,543
Aapeli,540
Elna,540
Helen,540
Suoma,537
Eppu,536
Aleksandr,535
Felicia,534
Dani,533
Christa,531
Kielo,531
Vladimir,528
Siina,528
Tatjana,528
Ulrika,525
Henna-Riikka,524
Linn,524
Christel,523
Sofi,522
Eljas,521
Ria,521
Pietari,520
